"REF_DATE","GEO","DGUID","Supply and disposition of sheep and lambs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Nova Scotia","2016A000212","Total disposition of sheep and lambs","July to December","Head","148","thousands","3","v44184856","5.6.2","12.1","","","","1"
"2000","Nova Scotia","2016A000212","Deaths and condemnations of sheep and lambs","January to June","Head","148","thousands","3","v44184597","5.7.1","1.4","","","","1"
"2000","Nova Scotia","2016A000212","Deaths and condemnations of sheep and lambs","July to December","Head","148","thousands","3","v44184857","5.7.2","0.7","","","","1"
"2000","Nova Scotia","2016A000212","Deaths, sheep","January to June","Head","148","thousands","3","v44184598","5.8.1","0.3","","","","1"
"2000","Nova Scotia","2016A000212","Deaths, sheep","July to December","Head","148","thousands","3","v44184858","5.8.2","0.3","","","","1"
"2000","Nova Scotia","2016A000212","Deaths, lambs","January to June","Head","148","thousands","3","v44184599","5.9.1","1.1","","","","1"
"2000","Nova Scotia","2016A000212","Deaths, lambs","July to December","Head","148","thousands","3","v44184859","5.9.2","0.4","","","","1"
"2000","Nova Scotia","2016A000212","Condemnations of sheep and lambs","January to June","Head","148","thousands","3","v44184600","5.10.1","0.0","","","","1"
"2000","Nova Scotia","2016A000212","Condemnations of sheep and lambs","July to December","Head","148","thousands","3","v44184860","5.10.2","0.0","","","","1"
"2000","Nova Scotia","2016A000212","Interprovincial exports (net) of sheep and lambs","January to June","Head","148","thousands","3","v44184601","5.11.1","4.3","","","t","1"
"2000","Nova Scotia","2016A000212","Interprovincial exports (net) of sheep and lambs","July to December","Head","148","thousands","3","v44184861","5.11.2","4.2","","","t","1"
"2000","Nova Scotia","2016A000212","International exports of sheep and lambs","January to June","Head","148","thousands","3","v44184602","5.12.1","0.0","","","","1"
"2000","Nova Scotia","2016A000212","International exports of sheep and lambs","July to December","Head","148","thousands","3","v44184862","5.12.2","0.0","","","","1"
"2000","Nova Scotia","2016A000212","Total slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184603","5.13.1","5.1","","","","1"
"2000","Nova Scotia","2016A000212","Total slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184863","5.13.2","7.2","","","","1"
"2000","Nova Scotia","2016A000212","Federal Provincial Inspected Slaughter (FPIS)","January to June","Head","148","thousands","3","v44184604","5.14.1","4.2","","","","1"
"2000","Nova Scotia","2016A000212","Federal Provincial Inspected Slaughter (FPIS)","July to December","Head","148","thousands","3","v44184864","5.14.2","5.9","","","","1"
"2000","Nova Scotia","2016A000212","International imports for slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184605","5.15.1","0.0","","","","1"
